"","title","genre","reating"
"1","Metal Gear Solid 3: Snake Eater","
Action, Adventure, Drama            ","9.5"
"2","Metal Gear Solid 2: Sons of Liberty","
Action, Adventure, Drama            ","9"
"3","Biohazard 4","
Action, Horror, Sci-Fi            ","9.2"
"4","Grand Theft Auto: San Andreas","
Action, Crime            ","9.4"
"5","Grand Theft Auto: Vice City","
Action, Crime, Drama            ","9.2"
"6","Grand Theft Auto III","
Action, Crime, Drama            ","8.6"
"7","Wanda to kyozô","
Action, Adventure, Drama            ","9.2"
"8","SSX 3","
Action, Sport            ","8.4"
"9","SSX Tricky","
Action, Family, Sport            ","8.3"
"10","Okami","
Action, Adventure, Fantasy            ","8.8"
"11","God of War II","
Action, Adventure, Fantasy            ","9.2"
"12","Devil May Cry 3","
Action, Adventure, Fantasy            ","8.5"
"13","Devil May Cry","
Action, Adventure, Fantasy            ","8.1"
"14","Prince of Persia: The Two Thrones","
Action, Adventure, Fantasy            ","8.5"
"15","Prince of Persia: Warrior Within","
Action, Adventure, Fantasy            ","8.6"
"16","Prince of Persia: The Sands of Time","
Action, Adventure, Fantasy            ","8.5"
"17","Fainaru fantajî XII","
Action, Adventure, Fantasy            ","8.1"
"18","Fainaru fantajî X","
Adventure, Fantasy, Romance            ","9.1"
"19","Ico","
Adventure, Drama, Fantasy            ","8.6"
"20","Ratchet & Clank: Up Your Arsenal","
Action, Adventure, Comedy            ","8.8"
"21","Ratchet & Clank: Going Commando","
Action, Adventure, Comedy            ","8.5"
"22","Persona 4","
Action, Adventure, Comedy            ","9.2"
"23","TimeSplitters: Future Perfect","
Action, Adventure, Sci-Fi            ","8.7"
"24","TimeSplitters 2","
Action, Adventure, Mystery            ","8.5"
"25","Jak 3","
Action, Adventure, Comedy            ","8.5"
"26","Jak II","
Action, Adventure, Comedy            ","8.4"
"27","Splinter Cell: Double Agent","
Action, Adventure, Thriller            ","7.8"
"28","Splinter Cell: Chaos Theory","
Action, Adventure, Thriller            ","8.6"
"29","Splinter Cell: Pandora Tomorrow","
Action, Adventure, Thriller            ","8.1"
"30","Splinter Cell","
Action, Adventure, Thriller            ","8.3"
"31","Silent Hill 3","
Drama, Horror, Mystery            ","8.6"
"32","Silent Hill 2","
Drama, Horror, Mystery            ","9.4"
"33","Sly 3: Honor Among Thieves","
Action, Adventure, Comedy            ","8.6"
"34","Sly 2: Band of Thieves","
Action, Adventure, Comedy            ","8.8"
"35","SOCOM: U.S. Navy SEALs Combined Assault","
Action, Adventure            ","8.2"
"36","SOCOM II: U.S. Navy SEALs","
Action, Adventure            ","8.2"
"37","Hitman: Blood Money","
Action, Crime, Mystery            ","8.8"
"38","Hitman: Contracts","
Action, Crime, Mystery            ","8"
"39","Hitman 2: Silent Assassin","
Action, Crime, Mystery            ","8.3"
"40","Medal of Honor: Frontline","
Action, Adventure, War            ","8.1"
"41","Kingdom Hearts II","
Action, Adventure, Family            ","9.3"
"42","James Bond 007: Everything or Nothing","
Action, Adventure, Sci-Fi            ","7.9"
"43","Star Wars: Battlefront II","
Action, Adventure, Sci-Fi            ","8.8"
"44","Fahrenheit","
Action, Crime, Fantasy            ","8.3"
"45","Lara Croft Tomb Raider: Anniversary","
Action, Adventure, Fantasy            ","8.1"
"46","Anubis: Zone of the Enders","
Action, Adventure, Drama            ","8.1"
"47","Max Payne","
Action, Crime, Drama            ","9.2"
"48","Half-Life","
Action, Sci-Fi, Thriller            ","9.2"
"49","Deus Ex","
Action, Adventure, Drama            ","9.2"
"50","Red Faction","
Action, Sci-Fi            ","7.6"
